Element, data.x, data.y, data.z, data.w
198, 33BBBD2E, BF800000, 00000000, 3ECCCCCD
199, 00000000, 3F800000, 40000000, C2C80000
200, BE86DB12, 3F167918, 3F43D326, 00000000
201, 3F800000, 3F800000, 3F800000, 00000000
202, 00000000, 00000000, 00000000, 3F800000
203, 00000000, 00000000, 00000000, 3F800000
204, 80000000, 3A83126F, BF800000, 00000000
205, 45FA0000, 45FA0000, 45FA0000, 00000000
206, 00000000, 3C800000, 413BB000, 41948800
207, C433C000, C490A000, 42000000, 00000000
208, 41700000, 41700000, C4343480, C490FDF8
209, 42960000, 42960000, C43BB840, C494BEE8
210, 3D888889, 3D888889, 42403800, 429AA880
211, 3C5A740E, 3C5A740E, 41203000, 417DDC00
212, 00000000, 00000000, 00000000, 00000000
213, C4318736, 436B2C52, C48FDB33, BF800000
214, 3C000000, 3C800000, 3C000000, 00000000
215, 41E80000, 41500000, 42500000, 43100000
216, BBF76C60, 3EF1C917, 3C476813, 3F8C53BE
217, BBF76C60, 3EF1C917, 3C476813, 3F8C53BE
218, BBF76C60, 3EF1C917, 3C476813, 3F8C53BE
219, 00000000, 00000000, 00000000, 00000000
220, 00000000, 00000000, 00000000, 00000000
221, 00000000, 00000000, 00000000, 00000000
222, BF800000, 00000000, 41E80000, 00000000
223, 42000000, 3F7469AC, 00000000, 00000000
224, 3D000000, 3E4CCBDD, 00000000, 00000000
225, 00000000, 00000000, 00000000, 00000000
226, 409E5F64, 00000000, 00000000, 00000000
227, 3F000000, 3F000000, 00000000, 00000000
228, 3FE66666, 00000000, 00000000, 00000000
229, 3F800000, 3F800000, 00000000, 00000000
230, 3EB66140, 00000000, 00000000, 00000000
231, 00000000, 00000000, 00000000, 00000000
232, 3E19999A, 3F99999A, 3F000000, 00000000
233, 3F800000, 3F800000, 00000000, 3F800000
234, 00000000, 00000000, 00000000, 00000000
235, 00000000, 00000000, 00000000, 00000000
236, 44000000, 3B000000, 3EC80000, 00000000
237, 3F800000, 00000000, 00000000, 00000000
238, 3F800000, 3F800000, 3F800000, 00000000
239, 42000000, 44000000, 3F6F2474, 00000000
240, C4318800, C48FDC00, C4318800, C48FDC00
241, 461C4000, 461C4000, 461C4000, 3A83126F
242, 461C4400, 461C4000, 461C4400, 00000000
243, 00000000, 00000000, 00000000, 00000000
244, 00000000, 00000000, 00000000, 00000000
245, 00000000, 00000000, 00000000, 00000000
246, 00000000, 00000000, 00000000, 00000000
247, 00000000, 00000000, 00000000, 00000000
248, 00000000, 00000000, 00000000, 00000000
249, 91560750, 00000001, 46010000, 44000000
250, 3B000000, 3EC80000, 00000000, 00000000
251, 461C4000, 461C4000, 461C4000, 3A83126F
252, 461C4400, 461C4000, 461C4400, 00000000
253, 00000000, 00000000, 00000000, 00000000
254, 00000000, 00000000, 00000000, 00000000
255, 00000000, 00000000, 00000000, 00000000
256, 42000000, 3F74D6FD, 00000000, 00000000
257, 3D000000, 3E4CCB3A, 00000000, 00000000
258, 3E83126F, 3EE56042, BE570A3D, 42C80000
259, 409E5F64, 3FA147AE, 00000000, 00000000
260, 3F000000, 3F000000, 00000000, 00000000
261, 3FE66666, 00000000, 00000000, 00000000
262, 3F800000, 3F800000, 00000000, 00000000
263, 3EB66140, 00000000, 00000000, 00000000
264, 00000000, 00000000, 00000000, 00000000
265, 3E19999A, 3F99999A, 3F000000, 00000000
266, 3F800000, 3F800000, 00000000, 3F800000
267, 3F800000, 00000000, 00000000, 00000000
268, 00000000, 00000000, 00000000, 00000000
269, 91560EC0, 00000001, 913EFE90, 00000001
270, 91560750, 00000001, 00010101, 44000000
271, 3B000000, 3EC80000, 00000000, 00000001
272, 461C4000, 461C4000, 461C4000, 3A83126F
273, 461C4400, 461C4000, 461C4400, 00000000
274, 0705AD60, 00007FFE, F9816260, 00000001
275, F9816240, 00000001, 00000000, 00000000
276, 00000018, 00000000, 00000018, 00000000
277, 0705AED0, 00007FFE, BF7FEC82, BB1C4A0C
278, BCC6E107, 00000000, 00000000, 3F7EC614
279, BDC836D4, 00000000, BCC7D613, 3DC82794
280, 3F7EB2AE, 00000000, BDB48EC9, C395E65C
