Name,Value,Byte Offset,Type
_child19.row0,"-1.09015, 3.47637E-09, 8.61740E-13, -8.65724E-08",,float4
_child19.row1,"-1.36971E-12, -1.93763, 2.06054E-07, -0.0207",,float4
_child19.row2,"9.43972E-08, 0.04012, 9.95184E-06, -0.99979",,float4
_child19.row3,"-1.54899E-08, 584.0434, 0.09993, 7.62045",,float4
_child20,,1232,float4x4 (row_major)
_child20.row0,"-0.9173, -1.15248E-12, 7.94303E-08, 0.00",,float4
_child20.row1,"9.25544E-10, -0.51587, 0.01068, 0.00",,float4
_child20.row2,"1.04953E-06, 3014.47021, 13.80516, 9.9999",,float4
_child20.row3,"-8.65619E-08, 0.00931, -0.99965, 0.0001",,float4
_child21,"1.04960E-07, 301.45001, 1.3806, 0.00",1296,float4
_child22,"2560.00, 1440.00, 0.00039, 0.00069",1312,float4
_child23,"2560.00, 1440.00, 0.00039, 0.00069",1328,float4
_child24,"99999.00, 1.00, 9.9999, 0.0001",1344,float4
_child25,"-1.00, 0.10, 10000.00, 0.0001",1360,float4
_child26,"0.00, 0.00, 0.00, 0.00",1376,float4
_child27,"2560.00, 1440.00, 1.00039, 1.00069",1392,float4
_child28,,1408,float4[6]
_child28[0],"0.00, 0.00, 0.00, 0.00",1408,float4
_child28[1],"0.00, 0.00, 0.00, 0.00",1424,float4
_child28[2],"0.00, 0.00, 0.00, 0.00",1440,float4
_child28[3],"0.00, 0.00, 0.00, 0.00",1456,float4
_child28[4],"0.00, 0.00, 0.00, 0.00",1472,float4
_child28[5],"0.00, 0.00, 0.00, 0.00",1488,float4
_child29,,1504,float4[6]
_child29[0],"0.00, 0.00, 0.00, 0.00",1504,float4
_child29[1],"0.00, 0.00, 0.00, 0.00",1520,float4
_child29[2],"0.00, 0.00, 0.00, 0.00",1536,float4
_child29[3],"0.00, 0.00, 0.00, 0.00",1552,float4
_child29[4],"0.00, 0.00, 0.00, 0.00",1568,float4
_child29[5],"0.00, 0.00, 0.00, 0.00",1584,float4
_child30,"0.00, 0.5625, 7.00, 1.00",1600,float4
_child31,"-0.4375, 0.38889, -0.00017, 0.00027",1616,float4
_child32,"1.33236, 26.64717, 53.29433, 0.45263",1632,float4
_child33,"-0.18817, 0.36963, 0.6869, 0.99841",1648,float4
_child34,"-0.98214, 0.92918, 0.72675, 0.05634",1664,float4
_child35,"0.01668, 59.951, 0.01668, 59.95098",1680,float4
_child36,"26.64717, 0.99841, 0.05634, 0.45263",1696,float4
_child37,"26.63049, 0.99733, 0.07299, 0.43595",1712,float4
_child38,"-1.00",1728,float
_child39,"0.50",1732,float
_child40,"0.00",1736,float
_child41,"655",1740,uint
_child42,"1.00, 0.00, 0.00, 0.00",1744,float4
